snippetList_name2 - album2_life-after-youv2_cut1mobile.wav_stft.txt_vectors.txt
115 122 6 1
115 122 8 1
115 111 21 1
115 111 23 1
115 122 25 1
115 97 26 1
115 109 28 1
115 127 29 1
115 126 30 1
115 127 30 1
115 109 31 1
115 109 33 1
115 109 34 1
115 127 34 1
118 122 5 2
118 122 7 2
118 111 20 2
118 111 22 2
118 122 24 2
118 109 27 2
118 127 28 2
118 126 29 2
118 127 29 2
118 109 30 2
118 109 32 2
118 109 33 2
118 127 33 2
118 127 34 2
28 18 8 3
28 16 9 3
28 42 11 3
28 25 12 3
28 24 13 3
28 20 17 3
28 44 22 3
2 0 5 4
2 0 7 4
2 6 7 4
2 18 7 4
2 3 8 4
2 7 8 4
2 16 8 4
2 20 16 4
2 4 19 4
2 7 19 4
2 7 26 4
2 7 28 4
2 18 34 4
12 0 5 4
12 0 7 4
12 6 7 4
12 18 7 4
12 3 8 4
12 7 8 4
12 16 8 4
12 25 11 4
12 24 12 4
12 20 16 4
12 4 19 4
12 7 19 4
12 7 26 4
12 7 28 4
12 18 34 4
18 0 5 4
18 0 7 4
18 6 7 4
18 18 7 4
18 3 8 4
18 7 8 4
18 16 8 4
18 25 11 4
18 24 12 4
18 20 16 4
18 4 19 4
18 7 19 4
18 7 26 4
18 7 28 4
18 18 34 4
18 37 34 4
59 68 6 4
59 60 8 4
59 67 8 4
59 70 9 4
59 42 10 4
59 69 13 4
59 61 16 4
59 55 17 4
59 44 21 4
59 55 24 4
59 55 25 4
59 51 26 4
59 61 29 4
59 75 32 4
65 68 6 4
65 60 8 4
65 67 8 4
65 70 9 4
65 69 13 4
65 61 16 4
65 82 16 4
65 55 17 4
65 55 24 4
65 55 25 4
65 51 26 4
65 61 29 4
65 82 29 4
65 75 32 4
65 79 34 4
3 0 6 5
3 6 6 5
3 18 6 5
3 3 7 5
3 7 7 5
3 16 7 5
3 20 15 5
3 4 18 5
3 7 18 5
3 7 25 5
3 7 27 5
3 18 33 5
8 0 6 5
8 6 6 5
8 18 6 5
8 3 7 5
8 7 7 5
8 16 7 5
8 25 10 5
8 24 11 5
8 20 15 5
8 4 18 5
8 7 18 5
8 7 25 5
8 7 27 5
8 18 33 5
23 6 6 5
23 18 6 5
23 3 7 5
23 7 7 5
23 16 7 5
23 42 9 5
23 25 10 5
23 24 11 5
23 20 15 5
23 4 18 5
23 7 18 5
23 7 25 5
23 7 27 5
23 18 33 5
23 37 33 5
23 38 34 5
113 93 9 5
113 111 17 5
113 93 18 5
113 111 19 5
113 122 21 5
113 97 22 5
113 109 24 5
113 127 25 5
113 126 26 5
113 127 26 5
113 109 27 5
113 109 29 5
113 109 30 5
113 127 30 5
113 127 31 5
113 125 32 5
0 0 5 6
0 6 5 6
0 18 5 6
0 3 6 6
0 7 6 6
0 16 6 6
0 4 17 6
0 7 17 6
0 7 24 6
0 7 26 6
0 18 32 6
2 0 5 6
2 6 5 6
2 18 5 6
2 3 6 6
2 7 6 6
2 16 6 6
2 20 14 6
2 4 17 6
2 7 17 6
2 7 24 6
2 7 26 6
2 18 32 6
3 0 5 6
3 6 5 6
3 18 5 6
3 3 6 6
3 7 6 6
3 16 6 6
3 20 14 6
3 4 17 6
3 7 17 6
3 7 24 6
3 7 26 6
3 18 32 6
9 0 5 6
9 6 5 6
9 18 5 6
9 3 6 6
9 7 6 6
9 16 6 6
9 25 9 6
9 24 10 6
9 20 14 6
9 4 17 6
9 7 17 6
9 7 24 6
9 7 26 6
9 18 32 6
29 18 5 6
29 16 6 6
29 42 8 6
29 25 9 6
29 24 10 6
29 20 14 6
29 44 19 6
29 18 32 6
29 37 32 6
29 38 33 6
3 3 5 7
3 7 5 7
3 16 5 7
3 20 13 7
3 4 16 7
3 7 16 7
3 7 23 7
3 7 25 7
3 18 31 7
122 111 15 7
122 111 17 7
122 122 19 7
122 109 22 7
122 127 23 7
122 126 24 7
122 127 24 7
122 109 25 7
122 109 27 7
122 109 28 7
122 127 28 7
122 127 29 7
122 125 30 7
122 115 33 7
122 109 34 7
122 127 34 7
6 25 7 8
6 24 8 8
6 20 12 8
6 4 15 8
6 7 15 8
6 7 22 8
6 7 24 8
6 18 30 8
0 4 14 9
0 7 14 9
0 7 21 9
0 7 23 9
0 18 29 9
122 111 13 9
122 111 15 9
122 122 17 9
122 109 20 9
122 127 21 9
122 126 22 9
122 127 22 9
122 109 23 9
122 109 25 9
122 109 26 9
122 127 26 9
122 127 27 9
122 125 28 9
122 115 31 9
122 109 32 9
122 127 32 9
122 117 33 9
122 118 34 9
68 69 7 10
68 86 8 10
68 61 10 10
68 82 10 10
68 55 11 10
68 55 18 10
68 55 19 10
68 51 20 10
68 61 23 10
68 82 23 10
68 75 26 10
68 79 28 10
68 81 29 10
68 55 30 10
0 4 12 11
0 7 12 11
0 7 19 11
0 7 21 11
0 18 27 11
6 24 5 11
6 20 9 11
6 4 12 11
6 7 12 11
6 7 19 11
6 7 21 11
6 18 27 11
18 24 5 11
18 20 9 11
18 4 12 11
18 7 12 11
18 7 19 11
18 7 21 11
18 18 27 11
18 37 27 11
18 30 34 11
3 20 8 12
3 4 11 12
3 7 11 12
3 7 18 12
3 7 20 12
3 18 26 12
7 20 8 12
7 4 11 12
7 7 11 12
7 7 18 12
7 7 20 12
7 18 26 12
16 20 8 12
16 4 11 12
16 7 11 12
16 7 18 12
16 7 20 12
16 18 26 12
16 30 33 12
60 69 5 12
60 61 8 12
60 55 9 12
60 44 13 12
60 55 16 12
60 55 17 12
60 51 18 12
60 61 21 12
60 75 24 12
60 79 26 12
60 55 28 12
60 46 31 12
60 58 33 12
60 63 34 12
67 69 5 12
67 86 6 12
67 61 8 12
67 82 8 12
67 55 9 12
67 55 16 12
67 55 17 12
67 51 18 12
67 61 21 12
67 82 21 12
67 75 24 12
67 79 26 12
67 81 27 12
67 55 28 12
67 58 33 12
67 63 34 12
70 86 5 13
70 89 6 13
70 61 7 13
70 82 7 13
70 55 8 13
70 55 15 13
70 55 16 13
70 51 17 13
70 61 20 13
70 82 20 13
70 75 23 13
70 79 25 13
70 81 26 13
70 55 27 13
70 58 32 13
70 63 33 13
70 56 34 13
42 61 6 14
42 55 7 14
42 44 11 14
42 55 14 14
42 55 15 14
42 51 16 14
42 61 19 14
42 37 24 14
42 38 25 14
42 55 26 14
42 46 29 14
42 30 31 14
42 58 31 14
42 56 33 14
42 54 34 14
93 89 5 14
93 82 6 14
93 111 8 14
93 93 9 14
93 111 10 14
93 92 11 14
93 97 13 14
93 109 15 14
93 90 16 14
93 109 18 14
93 82 19 14
93 109 20 14
93 109 21 14
93 75 22 14
93 79 24 14
93 81 25 14
93 109 27 14
93 101 30 14
93 78 34 14
25 20 5 15
25 7 8 15
25 44 10 15
25 7 15 15
25 7 17 15
25 18 23 15
25 37 23 15
25 38 24 15
25 30 30 15
24 4 7 16
24 7 7 16
24 7 14 16
24 7 16 16
24 18 22 16
24 37 22 16
24 38 23 16
24 30 29 16
69 55 11 17
69 55 12 17
69 51 13 17
69 61 16 17
69 82 16 17
69 75 19 17
69 79 21 17
69 81 22 17
69 55 23 17
69 58 28 17
69 63 29 17
69 56 30 17
69 54 31 17
69 78 31 17
69 51 32 17
86 93 5 18
86 92 7 18
86 97 9 18
86 90 12 18
86 82 15 18
86 75 18 18
86 79 20 18
86 81 21 18
86 101 26 18
86 78 30 18
86 89 31 18
86 92 34 18
89 92 6 19
89 97 8 19
89 90 11 19
89 82 14 19
89 75 17 19
89 79 19 19
89 81 20 19
89 101 25 19
89 78 29 19
89 89 30 19
89 92 33 19
20 7 10 20
20 7 12 20
20 18 18 20
20 37 18 20
20 38 19 20
20 30 25 20
20 35 31 20
20 30 32 20
20 14 33 20
20 17 33 20
20 4 34 20
20 23 34 20
61 44 5 20
61 55 8 20
61 55 9 20
61 51 10 20
61 61 13 20
61 75 16 20
61 79 18 20
61 55 20 20
61 46 23 20
61 58 25 20
61 63 26 20
61 56 27 20
61 54 28 20
61 78 28 20
61 51 29 20
61 60 34 20
82 92 5 20
82 97 7 20
82 90 10 20
82 82 13 20
82 75 16 20
82 79 18 20
82 81 19 20
82 101 24 20
82 63 26 20
82 78 28 20
82 89 29 20
82 92 32 20
55 55 7 21
55 55 8 21
55 51 9 21
55 61 12 21
55 37 17 21
55 38 18 21
55 55 19 21
55 46 22 21
55 58 24 21
55 63 25 21
55 56 26 21
55 54 27 21
55 51 28 21
55 35 30 21
55 60 33 21
55 64 34 21
111 97 5 22
111 109 7 22
111 127 8 22
111 126 9 22
111 127 9 22
111 109 10 22
111 109 12 22
111 109 13 22
111 127 13 22
111 127 14 22
111 125 15 22
111 115 18 22
111 109 19 22
111 127 19 22
111 117 20 22
111 118 21 22
111 101 22 22
111 118 23 22
111 125 25 22
111 123 29 22
111 92 30 22
111 125 31 22
111 91 34 22
4 7 7 23
4 7 9 23
4 18 15 23
4 14 30 23
4 17 30 23
4 4 31 23
4 23 31 23
7 7 7 23
7 7 9 23
7 18 15 23
7 14 30 23
7 17 30 23
7 4 31 23
7 23 31 23
93 109 6 23
93 90 7 23
93 109 9 23
93 82 10 23
93 109 11 23
93 109 12 23
93 75 13 23
93 79 15 23
93 81 16 23
93 109 18 23
93 101 21 23
93 78 25 23
93 89 26 23
93 92 29 23
93 91 33 23
93 91 34 23
111 109 5 24
111 127 6 24
111 126 7 24
111 127 7 24
111 109 8 24
111 109 10 24
111 109 11 24
111 127 11 24
111 127 12 24
111 125 13 24
111 115 16 24
111 109 17 24
111 127 17 24
111 117 18 24
111 118 19 24
111 101 20 24
111 118 21 24
111 125 23 24
111 123 27 24
111 92 28 24
111 125 29 24
111 91 32 24
111 91 33 24
111 91 34 24
44 51 5 25
44 61 8 25
44 37 13 25
44 38 14 25
44 55 15 25
44 46 18 25
44 30 20 25
44 58 20 25
44 63 21 25
44 56 22 25
44 54 23 25
44 51 24 25
44 35 26 25
44 30 27 25
44 60 29 25
44 47 32 25
44 51 34 25
92 90 5 25
92 109 7 25
92 82 8 25
92 109 9 25
92 109 10 25
92 75 11 25
92 79 13 25
92 81 14 25
92 109 16 25
92 101 19 25
92 78 23 25
92 89 24 25
92 92 27 25
92 91 31 25
92 91 32 25
92 91 33 25
122 126 5 26
122 127 5 26
122 109 6 26
122 109 8 26
122 109 9 26
122 127 9 26
122 127 10 26
122 125 11 26
122 115 14 26
122 109 15 26
122 127 15 26
122 117 16 26
122 118 17 26
122 118 19 26
122 125 21 26
122 123 25 26
122 125 27 26
97 109 5 27
97 82 6 27
97 109 7 27
97 109 8 27
97 79 11 27
97 81 12 27
97 115 13 27
97 109 14 27
97 101 17 27
97 78 21 27
97 89 22 27
97 92 25 27
97 91 29 27
97 91 30 27
97 91 31 27
55 61 5 28
55 37 10 28
55 38 11 28
55 55 12 28
55 46 15 28
55 58 17 28
55 63 18 28
55 56 19 28
55 54 20 28
55 51 21 28
55 35 23 28
55 60 26 28
55 64 27 28
55 47 29 28
55 51 31 28
55 60 33 28
55 60 34 28
55 37 9 29
55 38 10 29
55 55 11 29
55 46 14 29
55 58 16 29
55 63 17 29
55 56 18 29
55 54 19 29
55 51 20 29
55 35 22 29
55 60 25 29
55 64 26 29
55 47 28 29
55 51 30 29
55 60 32 29
55 60 33 29
55 43 34 29
109 109 5 29
109 109 6 29
109 127 6 29
109 127 7 29
109 125 8 29
109 115 11 29
109 109 12 29
109 127 12 29
109 117 13 29
109 118 14 29
109 101 15 29
109 118 16 29
109 125 18 29
109 89 20 29
109 123 22 29
109 92 23 29
109 125 24 29
109 91 27 29
109 91 28 29
109 91 29 29
109 124 32 29
109 92 34 29
7 18 8 30
7 14 23 30
7 17 23 30
7 4 24 30
7 23 24 30
7 1 32 30
7 3 32 30
51 37 8 30
51 38 9 30
51 55 10 30
51 46 13 30
51 58 15 30
51 63 16 30
51 56 17 30
51 54 18 30
51 51 19 30
51 35 21 30
51 60 24 30
51 64 25 30
51 47 27 30
51 51 29 30
51 60 31 30
51 60 32 30
51 43 33 30
90 109 5 30
90 75 6 30
90 79 8 30
90 81 9 30
90 109 11 30
90 101 14 30
90 78 18 30
90 89 19 30
90 92 22 30
90 91 26 30
90 91 27 30
90 91 28 30
90 75 32 30
90 92 33 30
90 75 34 30
127 109 5 30
127 127 5 30
127 127 6 30
127 125 7 30
127 115 10 30
127 109 11 30
127 127 11 30
127 117 12 30
127 118 13 30
127 118 15 30
127 125 17 30
127 123 21 30
127 125 23 30
127 124 31 30
126 127 5 31
126 125 6 31
126 115 9 31
126 109 10 31
126 127 10 31
126 117 11 31
126 118 12 31
126 118 14 31
126 125 16 31
126 123 20 31
126 125 22 31
126 124 30 31
127 127 5 31
127 125 6 31
127 115 9 31
127 109 10 31
127 127 10 31
127 117 11 31
127 118 12 31
127 118 14 31
127 125 16 31
127 123 20 31
127 125 22 31
127 124 30 31
7 18 6 32
7 14 21 32
7 17 21 32
7 4 22 32
7 23 22 32
7 1 30 32
7 3 30 32
7 6 33 32
7 13 33 32
109 125 5 32
109 115 8 32
109 109 9 32
109 127 9 32
109 117 10 32
109 118 11 32
109 101 12 32
109 118 13 32
109 125 15 32
109 89 17 32
109 123 19 32
109 92 20 32
109 125 21 32
109 91 24 32
109 91 25 32
109 91 26 32
109 124 29 32
109 92 31 32
109 123 34 32
61 79 5 33
61 55 7 33
61 46 10 33
61 58 12 33
61 63 13 33
61 56 14 33
61 54 15 33
61 78 15 33
61 51 16 33
61 60 21 33
61 64 22 33
61 47 24 33
61 51 26 33
61 60 28 33
61 60 29 33
61 75 29 33
61 43 30 33
61 75 31 33
61 70 32 33
82 79 5 33
82 81 6 33
82 101 11 33
82 63 13 33
82 78 15 33
82 89 16 33
82 92 19 33
82 64 22 33
82 91 23 33
82 91 24 33
82 91 25 33
82 75 29 33
82 92 30 33
82 75 31 33
82 70 32 33
82 91 34 33
109 115 6 34
109 109 7 34
109 127 7 34
109 117 8 34
109 118 9 34
109 101 10 34
109 118 11 34
109 125 13 34
109 89 15 34
109 123 17 34
