name3 - album3_broken-heartv2.wav_stft.txt_vectors.txt
66 66 5 3
66 66 6 3
116 117 5 5
116 116 6 5
116 116 7 5
116 116 8 5
116 116 10 5
116 117 13 5
116 100 14 5
116 100 15 5
116 116 16 5
116 126 18 5
116 122 19 5
116 107 20 5
116 126 21 5
116 126 22 5
116 116 23 5
116 121 24 5
116 116 25 5
116 126 26 5
116 122 27 5
116 126 28 5
116 126 29 5
116 122 30 5
116 124 31 5
116 116 32 5
116 122 33 5
116 122 34 5
29 12 10 6
29 32 10 6
29 31 16 6
29 30 17 6
29 33 20 6
29 33 34 6
87 88 8 6
87 87 10 6
87 88 11 6
87 100 13 6
87 100 14 6
87 88 16 6
117 116 5 10
117 117 8 10
117 100 9 10
117 100 10 10
117 116 11 10
117 126 13 10
117 122 14 10
117 107 15 10
117 126 16 10
117 126 17 10
117 116 18 10
117 121 19 10
117 116 20 10
117 126 21 10
117 122 22 10
117 126 23 10
117 126 24 10
117 122 25 10
117 124 26 10
117 116 27 10
117 122 28 10
117 122 29 10
117 124 30 10
117 114 31 10
117 122 32 10
117 126 33 10
117 122 34 10
116 117 7 11
116 100 8 11
116 100 9 11
116 116 10 11
116 126 12 11
116 122 13 11
116 107 14 11
116 126 15 11
116 126 16 11
116 116 17 11
116 121 18 11
116 116 19 11
116 126 20 11
116 122 21 11
116 126 22 11
116 126 23 11
116 122 24 11
116 124 25 11
116 116 26 11
116 122 27 11
116 122 28 11
116 124 29 11
116 114 30 11
116 122 31 11
116 126 32 11
116 122 33 11
116 114 34 11
116 117 6 12
116 100 7 12
116 100 8 12
116 116 9 12
116 126 11 12
116 122 12 12
116 107 13 12
116 126 14 12
116 126 15 12
116 116 16 12
116 121 17 12
116 116 18 12
116 126 19 12
116 122 20 12
116 126 21 12
116 126 22 12
116 122 23 12
116 124 24 12
116 116 25 12
116 122 26 12
116 122 27 12
116 124 28 12
116 114 29 12
116 122 30 12
116 126 31 12
116 122 32 12
116 114 33 12
116 126 34 12
116 117 5 13
116 100 6 13
116 100 7 13
116 116 8 13
116 126 10 13
116 122 11 13
116 107 12 13
116 126 13 13
116 126 14 13
116 116 15 13
116 121 16 13
116 116 17 13
116 126 18 13
116 122 19 13
116 126 20 13
116 126 21 13
116 122 22 13
116 124 23 13
116 116 24 13
116 122 25 13
116 122 26 13
116 124 27 13
116 114 28 13
116 122 29 13
116 126 30 13
116 122 31 13
116 114 32 13
116 126 33 13
116 126 34 13
88 100 5 14
88 100 6 14
88 88 8 14
88 107 11 14
88 100 34 14
116 100 5 15
116 116 6 15
116 126 8 15
116 122 9 15
116 107 10 15
116 126 11 15
116 126 12 15
116 116 13 15
116 121 14 15
116 116 15 15
116 126 16 15
116 122 17 15
116 126 18 15
116 126 19 15
116 122 20 15
116 124 21 15
116 116 22 15
116 122 23 15
116 122 24 15
116 124 25 15
116 114 26 15
116 122 27 15
116 126 28 15
116 122 29 15
116 114 30 15
116 126 31 15
116 126 32 15
116 100 33 15
116 126 34 15
12 31 6 16
12 30 7 16
32 31 6 16
32 30 7 16
32 33 10 16
32 33 24 16
87 88 6 16
87 100 32 16
88 88 5 17
88 107 8 17
88 100 31 17
117 126 5 18
117 122 6 18
117 107 7 18
117 126 8 18
117 126 9 18
117 116 10 18
117 121 11 18
117 116 12 18
117 126 13 18
117 122 14 18
117 126 15 18
117 126 16 18
117 122 17 18
117 124 18 18
117 116 19 18
117 122 20 18
117 122 21 18
117 124 22 18
117 114 23 18
117 122 24 18
117 126 25 18
117 122 26 18
117 114 27 18
117 126 28 18
117 126 29 18
117 100 30 18
117 126 31 18
117 126 33 18
117 126 34 18
100 107 6 19
100 116 9 19
100 116 11 19
100 116 18 19
100 114 22 19
100 114 26 19
100 100 29 19
100 107 5 20
100 116 8 20
100 116 10 20
100 116 17 20
100 114 21 20
100 114 25 20
100 100 28 20
100 103 34 20
116 126 5 21
116 126 6 21
116 116 7 21
116 121 8 21
116 116 9 21
116 126 10 21
116 122 11 21
116 126 12 21
116 126 13 21
116 122 14 21
116 124 15 21
116 116 16 21
116 122 17 21
116 122 18 21
116 124 19 21
116 114 20 21
116 122 21 21
116 126 22 21
116 122 23 21
116 114 24 21
116 126 25 21
116 126 26 21
116 100 27 21
116 126 28 21
116 126 30 21
116 126 31 21
116 124 32 21
116 103 33 21
116 103 34 21
31 33 18 22
88 100 26 22
88 103 32 22
88 103 33 22
30 33 17 23
126 116 5 23
126 121 6 23
126 116 7 23
126 126 8 23
126 122 9 23
126 126 10 23
126 126 11 23
126 122 12 23
126 124 13 23
126 116 14 23
126 122 15 23
126 122 16 23
126 124 17 23
126 114 18 23
126 122 19 23
126 126 20 23
126 122 21 23
126 114 22 23
126 126 23 23
126 126 24 23
126 126 26 23
126 126 28 23
126 126 29 23
126 124 30 23
126 126 33 23
126 116 34 23
122 121 5 24
